O1   1.30   0.0125   3   122.6811   178.8131
O1   1.30   0.0125   4   82.8582   137.3493
O1   1.30   0.0125   5   10.4229   35.8890
#--- new collection started at 22:05:46---
#Period    mass   z  pulse_number  period_WRMSE    global_WRMSE 
#--- new collection started at 21:01:49---
#Period    mass   z  pulse_number  period_WRMSE    global_WRMSE 
O1   1.30   0.0140   1   156.0699   214.7069
O1   1.30   0.0140   2   130.6527   184.3476
O1   1.30   0.0140   3   99.8056   150.8025
O1   1.30   0.0140   4   45.5620   91.7358
O1   1.30   0.0140   6   13.8245   46.4126
#--- new collection started at 19:59:41---
#Period    mass   z  pulse_number  period_WRMSE    global_WRMSE 
O1   1.30   0.0200   4   39.3907   73.6571
O1   1.30   0.0200   1   142.2510   188.3267
O1   1.30   0.0200   3   77.7578   112.0245
O1   1.30   0.0200   2   108.3888   145.0201
#--- new collection started at 22:09:56---
#Period    mass   z  pulse_number  period_WRMSE    global_WRMSE 
O1   1.30   0.0216   1   142.8487   187.2805
O1   1.30   0.0216   2   106.5657   140.8301
O1   1.30   0.0216   3   77.9954   109.8076
O1   1.30   0.0216   4   39.6998   71.8017
O1   1.30   0.0216   8   59.1562   120.6092
#--- new collection started at 19:59:46---
#Period    mass   z  pulse_number  period_WRMSE    global_WRMSE 
O1   1.30   0.0247   2   129.4144   165.3857
O1   1.30   0.0247   3   86.5151   113.3955
O1   1.30   0.0247   4   52.5637   79.8890
O1   1.30   0.0247   1   145.3211   185.7869
#--- new collection started at 22:56:02---
#Period    mass   z  pulse_number  period_WRMSE    global_WRMSE 
O1   1.30   0.0300   1   114.5689   137.1208
O1   1.30   0.0300   2   71.6937   88.6359
O1   1.30   0.0300   3   35.8393   56.4031
O1   1.30   0.0300   4   136.1778   197.3065
#--- new collection started at 10:56:19---
#Period    mass   z  pulse_number  period_WRMSE    global_WRMSE 
O1   1.30   0.0344   3   24.9735   40.8652
O1   1.30   0.0344   5   91.5546   23.9698
O1   1.30   0.0344   1   113.6688   127.8320
O1   1.30   0.0344   2   67.2655   76.4871
#--- new collection started at 23:20:29---
#Period    mass   z  pulse_number  period_WRMSE    global_WRMSE 
O1   1.30   0.0400   1   91.8748   88.2758
