#--- new collection started at 04:51:23---
O1   1.10   0.0100   7   42.0275   2038.9120   212.0436   53.1742   83.6706  6696.0449979870655
#--- new collection started at 05:20:20---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
O1   1.10   0.0125   6   56.0783   2273.3003   166.5687   49.6389   90.0473  7028.732069527527
O1   1.10   0.0125   7   26.1718   2153.2191   176.5642   48.7137   61.6663  7028.853346512239
#--- new collection started at 05:22:17---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
O1   1.10   0.0135   6   36.8056   2257.7510   156.2568   47.0550   72.3796  7166.810975514294
O1   1.10   0.0135   7   19.5471   2147.9411   175.7984   48.4242   51.3063  7166.929069817136
#--- new collection started at 05:24:48---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
O1   1.10   0.0140   7   26.5021   2240.7531   151.9913   45.6903   60.0195  7236.8985353899425
O1   1.10   0.0140   8   18.4956   2125.3904   184.7078   49.7215   49.9604  7237.013890434298
#--- new collection started at 05:26:53---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
O1   1.10   0.0200   6   12.0386   2422.8221   92.7107   37.0763   32.9934  8130.446511473789
#--- new collection started at 05:29:11---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
O1   1.10   0.0216   5   26.3265   2494.5688   88.2849   38.1725   52.6945  8177.143513740209
O1   1.10   0.0216   6   31.4773   2383.2403   83.6613   33.6303   54.1444  8177.239012543787
#--- new collection started at 05:31:32---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
O1   1.10   0.0247   6   12.9868   2529.9994   74.6154   35.8954   33.7105  8368.710035674252
#--- new collection started at 05:34:22---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
O1   1.10   0.0300   6   38.4881   2537.1822   49.1762   29.5139   49.6317  8645.59021416582
#--- new collection started at 05:36:19---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
O1   1.10   0.0344   5   11.0355   2680.5896   43.7882   32.9662   27.7468  8573.657502565788
#--- new collection started at 05:38:29---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
#--- new collection started at 05:40:22---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
O1   1.10   0.0450   5   24.9332   2720.8181   35.9269   32.2991   40.2943  8246.601366796855
#--- new collection started at 05:42:08---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
#--- new collection started at 05:43:48---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
#--- new collection started at 05:45:23---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
#--- new collection started at 05:46:35---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
#--- new collection started at 05:47:42---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
#--- new collection started at 05:48:31---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
#--- new collection started at 05:49:23---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
#--- new collection started at 05:49:39---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
#--- new collection started at 05:49:51---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
#--- new collection started at 05:50:00---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
#--- new collection started at 05:50:09---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
#--- new collection started at 04:51:24---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
O1   1.20   0.0080   7   52.2961   1620.0467   210.7154   43.7524   84.4938  4597.903053696181
#--- new collection started at 04:52:50---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
#--- new collection started at 04:54:37---
